Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: Screaming, Crying, Neutral Vocal, Mild Fussing, Coo, Quiet Chuckle, Delight, Large Grimace, Frown, Small Frown, Neutral Expression, Half Smile, Smile, Wide Smile, Self Comforting, Object Orientation, Parent Orientation, Escape, Start, Stop, Begin Still Face, Begin Reconciliation
Time,Duration,TrackName,comment

0,0,Stop,(null)
10000,0,Neutral Expression,(null)
10000,0,Neutral Vocal,(null)
10000,0,Parent Orientation,(null)
100000,0,Neutral Expression,(null)
100000,0,Neutral Vocal,(null)
100000,0,Object Orientation,(null)
105000,0,Neutral Expression,(null)
105000,0,Neutral Vocal,(null)
105000,0,Parent Orientation,(null)
110000,0,Neutral Expression,(null)
110000,0,Neutral Vocal,(null)
110000,0,Parent Orientation,(null)
115000,0,Neutral Expression,(null)
115000,0,Neutral Vocal,(null)
115000,0,Parent Orientation,(null)
120000,0,Neutral Expression,(null)
120000,0,Neutral Vocal,(null)
120000,0,Object Orientation,(null)
125000,0,Neutral Expression,(null)
125000,0,Neutral Vocal,(null)
125000,0,Parent Orientation,(null)
125855,0,Begin Still Face,(null)
130000,0,Neutral Expression,(null)
130000,0,Neutral Vocal,(null)
130000,0,Parent Orientation,(null)
135000,0,Half Smile,(null)
135000,0,Neutral Vocal,(null)
135000,0,Parent Orientation,(null)
140000,0,Neutral Expression,(null)
140000,0,Neutral Vocal,(null)
140000,0,Object Orientation,(null)
145000,0,Neutral Expression,(null)
145000,0,Neutral Vocal,(null)
145000,0,Object Orientation,(null)
15000,0,Half Smile,(null)
15000,0,Neutral Vocal,(null)
15000,0,Parent Orientation,(null)
150000,0,Neutral Expression,(null)
150000,0,Neutral Vocal,(null)
150000,0,Object Orientation,(null)
155000,0,Neutral Vocal,(null)
155000,0,Parent Orientation,(null)
155000,0,Smile,(null)
160000,0,Neutral Vocal,(null)
160000,0,Parent Orientation,(null)
160000,0,Wide Smile,(null)
165000,0,Half Smile,(null)
165000,0,Neutral Vocal,(null)
165000,0,Parent Orientation,(null)
170000,0,Neutral Expression,(null)
170000,0,Neutral Vocal,(null)
170000,0,Object Orientation,(null)
175000,0,Neutral Expression,(null)
175000,0,Neutral Vocal,(null)
175000,0,Object Orientation,(null)
180000,0,Neutral Expression,(null)
180000,0,Neutral Vocal,(null)
180000,0,Object Orientation,(null)
185000,0,Neutral Expression,(null)
185000,0,Neutral Vocal,(null)
185000,0,Object Orientation,(null)
190000,0,Neutral Expression,(null)
190000,0,Neutral Vocal,(null)
190000,0,Object Orientation,(null)
195000,0,Neutral Expression,(null)
195000,0,Neutral Vocal,(null)
195000,0,Object Orientation,(null)
20000,0,Neutral Vocal,(null)
20000,0,Object Orientation,(null)
20000,0,Small Frown,(null)
200000,0,Neutral Expression,(null)
200000,0,Neutral Vocal,(null)
200000,0,Object Orientation,(null)
205000,0,Neutral Vocal,(null)
205000,0,Object Orientation,(null)
205000,0,Smile,(null)
210000,0,Neutral Expression,(null)
210000,0,Neutral Vocal,(null)
210000,0,Object Orientation,(null)
215000,0,Neutral Expression,(null)
215000,0,Neutral Vocal,(null)
215000,0,Object Orientation,(null)
220000,0,Neutral Expression,(null)
220000,0,Neutral Vocal,(null)
220000,0,Object Orientation,(null)
225000,0,Neutral Expression,(null)
225000,0,Neutral Vocal,(null)
225000,0,Parent Orientation,(null)
230000,0,Neutral Expression,(null)
230000,0,Neutral Vocal,(null)
230000,0,Object Orientation,(null)
235000,0,Neutral Expression,(null)
235000,0,Neutral Vocal,(null)
235000,0,Object Orientation,(null)
240000,0,Neutral Expression,(null)
240000,0,Neutral Vocal,(null)
240000,0,Object Orientation,(null)
245000,0,Neutral Expression,(null)
245000,0,Neutral Vocal,(null)
245000,0,Parent Orientation,(null)
245000,0,Stop,(null)
25000,0,Coo,(null)
25000,0,Neutral Expression,(null)
25000,0,Object Orientation,(null)
30000,0,Neutral Expression,(null)
30000,0,Neutral Vocal,(null)
30000,0,Object Orientation,(null)
35000,0,Neutral Vocal,(null)
35000,0,Object Orientation,(null)
35000,0,Small Frown,(null)
40000,0,Neutral Vocal,(null)
40000,0,Object Orientation,(null)
45000,0,Neutral Vocal,(null)
45000,0,Object Orientation,(null)
45000,0,Small Frown,(null)
5000,0,Neutral Expression,(null)
5000,0,Neutral Vocal,(null)
5000,0,Parent Orientation,(null)
50000,0,Neutral Expression,(null)
50000,0,Neutral Vocal,(null)
50000,0,Object Orientation,(null)
55000,0,Neutral Expression,(null)
55000,0,Neutral Vocal,(null)
55000,0,Object Orientation,(null)
60000,0,Coo,(null)
60000,0,Neutral Expression,(null)
60000,0,Parent Orientation,(null)
65000,0,Half Smile,(null)
65000,0,Neutral Vocal,(null)
65000,0,Parent Orientation,(null)
70000,0,Coo,(null)
70000,0,Neutral Expression,(null)
70000,0,Parent Orientation,(null)
75000,0,Neutral Expression,(null)
75000,0,Neutral Vocal,(null)
75000,0,Parent Orientation,(null)
80000,0,Neutral Expression,(null)
80000,0,Neutral Vocal,(null)
80000,0,Parent Orientation,(null)
85000,0,Neutral Vocal,(null)
90000,0,Neutral Expression,(null)
90000,0,Neutral Vocal,(null)
90000,0,Parent Orientation,(null)
95000,0,Neutral Vocal,(null)
95000,0,Parent Orientation,(null)
95000,0,Small Frown,(null)
