Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: Screaming, Crying, Neutral Vocal, Mild Fussing, Coo, Quiet Chuckle, Delight, Large Grimace, Frown, Small Frown, Neutral Expression, Half Smile, Smile, Wide Smile, Self Comforting, Object Orientation, Parent Orientation, Escape, Start, Stop, Begin Still Face, Begin Reconciliation
Time,Duration,TrackName,comment

0,0,Stop,(null)
10000,0,Escape,(null)
10000,0,Neutral Expression,(null)
10000,0,Neutral Vocal,(null)
100000,0,Half Smile,(null)
100000,0,Neutral Vocal,(null)
100000,0,Object Orientation,(null)
105000,0,Escape,(null)
105000,0,Half Smile,(null)
105000,0,Neutral Vocal,(null)
105000,0,Object Orientation,(null)
110000,0,Half Smile,(null)
110000,0,Neutral Vocal,(null)
110000,0,Parent Orientation,(null)
115000,0,Half Smile,(null)
115000,0,Neutral Vocal,(null)
120000,0,Coo,(null)
120000,0,Escape,(null)
120000,0,Neutral Expression,(null)
120000,0,Parent Orientation,(null)
125000,0,Half Smile,(null)
125000,0,Neutral Vocal,(null)
125000,0,Parent Orientation,(null)
130000,0,Escape,(null)
130000,0,Neutral Vocal,(null)
130000,0,Parent Orientation,(null)
130000,0,Small Frown,(null)
134033,0,Begin Still Face,(null)
135000,0,Escape,(null)
135000,0,Neutral Vocal,(null)
135000,0,Parent Orientation,(null)
135000,0,Small Frown,(null)
140000,0,Mild Fussing,(null)
140000,0,Object Orientation,(null)
140000,0,Small Frown,(null)
145000,0,Escape,(null)
145000,0,Neutral Expression,(null)
145000,0,Neutral Vocal,(null)
145000,0,Object Orientation,(null)
15000,0,Escape,(null)
15000,0,Neutral Vocal,(null)
15000,0,Small Frown,(null)
150000,0,Coo,(null)
150000,0,Escape,(null)
150000,0,Neutral Expression,(null)
150000,0,Object Orientation,(null)
155000,0,Coo,(null)
155000,0,Escape,(null)
155000,0,Neutral Expression,(null)
155000,0,Object Orientation,(null)
160000,0,Coo,(null)
160000,0,Escape,(null)
160000,0,Parent Orientation,(null)
160000,0,Small Frown,(null)
165000,0,Escape,(null)
165000,0,Neutral Vocal,(null)
165000,0,Parent Orientation,(null)
165000,0,Small Frown,(null)
170000,0,Coo,(null)
170000,0,Escape,(null)
170000,0,Neutral Expression,(null)
170000,0,Parent Orientation,(null)
175000,0,Escape,(null)
175000,0,Mild Fussing,(null)
175000,0,Neutral Expression,(null)
175000,0,Object Orientation,(null)
180000,0,Escape,(null)
180000,0,Neutral Vocal,(null)
180000,0,Object Orientation,(null)
180000,0,Small Frown,(null)
185000,0,Escape,(null)
185000,0,Neutral Vocal,(null)
185000,0,Parent Orientation,(null)
185000,0,Small Frown,(null)
190000,0,Coo,(null)
190000,0,Escape,(null)
190000,0,Neutral Expression,(null)
190000,0,Object Orientation,(null)
195000,0,Escape,(null)
195000,0,Mild Fussing,(null)
