Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: Screaming, Crying, Neutral Vocal, Mild Fussing, Coo, Quiet Chuckle, Delight, Large Grimace, Frown, Small Frown, Neutral Expression, Half Smile, Smile, Wide Smile, Self Comforting, Object Orientation, Parent Orientation, Escape, Start, Stop, Begin Still Face, Begin Reconciliation
Time,Duration,TrackName,comment

0,0,Object Orientation,(null)
0,0,Stop,(null)
10000,0,Neutral Expression,(null)
10000,0,Neutral Vocal,(null)
10000,0,Parent Orientation,(null)
100000,0,Neutral Expression,(null)
100000,0,Neutral Vocal,(null)
100000,0,Parent Orientation,(null)
105000,0,Neutral Expression,(null)
105000,0,Neutral Vocal,(null)
105000,0,Parent Orientation,(null)
110000,0,Neutral Vocal,(null)
110000,0,Parent Orientation,(null)
110000,0,Small Frown,(null)
115000,0,Neutral Vocal,(null)
115000,0,Object Orientation,(null)
115000,0,Small Frown,(null)
120000,0,Neutral Vocal,(null)
120000,0,Object Orientation,(null)
120000,0,Small Frown,(null)
125000,0,Begin Still Face,(null)
125000,0,Neutral Vocal,(null)
125000,0,Parent Orientation,(null)
125000,0,Small Frown,(null)
130000,0,Neutral Expression,(null)
130000,0,Neutral Vocal,(null)
130000,0,Parent Orientation,(null)
135000,0,Coo,(null)
135000,0,Neutral Expression,(null)
135000,0,Parent Orientation,(null)
140000,0,Neutral Expression,(null)
140000,0,Neutral Vocal,(null)
140000,0,Parent Orientation,(null)
145000,0,Half Smile,(null)
145000,0,Neutral Vocal,(null)
145000,0,Parent Orientation,(null)
15000,0,Coo,(null)
15000,0,Object Orientation,(null)
15000,0,Self Comforting,(null)
150000,0,Neutral Expression,(null)
150000,0,Neutral Vocal,(null)
150000,0,Parent Orientation,(null)
155000,0,Neutral Vocal,(null)
155000,0,Parent Orientation,(null)
155000,0,Small Frown,(null)
160000,0,Neutral Vocal,(null)
160000,0,Parent Orientation,(null)
160000,0,Small Frown,(null)
165000,0,Neutral Vocal,(null)
165000,0,Object Orientation,(null)
170000,0,Neutral Vocal,(null)
170000,0,Parent Orientation,(null)
170000,0,Small Frown,(null)
175000,0,Neutral Expression,(null)
175000,0,Neutral Vocal,(null)
175000,0,Object Orientation,(null)
180000,0,Neutral Expression,(null)
180000,0,Neutral Vocal,(null)
180000,0,Parent Orientation,(null)
185000,0,Neutral Vocal,(null)
185000,0,Parent Orientation,(null)
185000,0,Small Frown,(null)
190000,0,Neutral Vocal,(null)
190000,0,Parent Orientation,(null)
190000,0,Small Frown,(null)
195000,0,Mild Fussing,(null)
195000,0,Object Orientation,(null)
195000,0,Small Frown,(null)
20000,0,Neutral Vocal,(null)
20000,0,Object Orientation,(null)
200000,0,Coo,(null)
200000,0,Neutral Expression,(null)
200000,0,Object Orientation,(null)
205000,0,Coo,(null)
205000,0,Object Orientation,(null)
210000,0,Neutral Expression,(null)
210000,0,Neutral Vocal,(null)
210000,0,Parent Orientation,(null)
215000,0,Neutral Expression,(null)
215000,0,Neutral Vocal,(null)
215000,0,Object Orientation,(null)
220000,0,Coo,(null)
220000,0,Half Smile,(null)
220000,0,Object Orientation,(null)
225000,0,Coo,(null)
225000,0,Neutral Expression,(null)
225000,0,Parent Orientation,(null)
230000,0,Coo,(null)
230000,0,Object Orientation,(null)
235000,0,Coo,(null)
235000,0,Parent Orientation,(null)
240000,0,Coo,(null)
240000,0,Object Orientation,(null)
240000,0,Small Frown,(null)
243251,0,Begin Reconciliation,(null)
245000,0,Coo,(null)
245000,0,Escape,(null)
245000,0,Half Smile,(null)
245000,0,Object Orientation,(null)
25000,0,Neutral Vocal,(null)
25000,0,Object Orientation,(null)
250000,0,Escape,(null)
250000,0,Neutral Vocal,(null)
250000,0,Object Orientation,(null)
255000,0,Escape,(null)
255000,0,Neutral Vocal,(null)
255000,0,Object Orientation,(null)
260000,0,Escape,(null)
260000,0,Neutral Vocal,(null)
260000,0,Object Orientation,(null)
265000,0,Half Smile,(null)
265000,0,Neutral Vocal,(null)
265000,0,Parent Orientation,(null)
270000,0,Half Smile,(null)
270000,0,Neutral Vocal,(null)
270000,0,Object Orientation,(null)
275000,0,Neutral Vocal,(null)
275000,0,Object Orientation,(null)
280000,0,Neutral Vocal,(null)
280000,0,Object Orientation,(null)
285000,0,Neutral Vocal,(null)
285000,0,Object Orientation,(null)
290000,0,Escape,(null)
290000,0,Neutral Expression,(null)
290000,0,Neutral Vocal,(null)
290000,0,Object Orientation,(null)
295000,0,Escape,(null)
295000,0,Neutral Vocal,(null)
295000,0,Object Orientation,(null)
30000,0,Neutral Vocal,(null)
30000,0,Object Orientation,(null)
300000,0,Escape,(null)
300000,0,Neutral Vocal,(null)
300000,0,Object Orientation,(null)
305000,0,Neutral Expression,(null)
305000,0,Neutral Vocal,(null)
305000,0,Object Orientation,(null)
310000,0,Escape,(null)
310000,0,Neutral Vocal,(null)
310000,0,Object Orientation,(null)
315000,0,Neutral Expression,(null)
315000,0,Neutral Vocal,(null)
315000,0,Parent Orientation,(null)
320000,0,Half Smile,(null)
320000,0,Neutral Vocal,(null)
320000,0,Parent Orientation,(null)
325000,0,Coo,(null)
325000,0,Neutral Expression,(null)
325000,0,Object Orientation,(null)
330000,0,Neutral Expression,(null)
330000,0,Neutral Vocal,(null)
330000,0,Object Orientation,(null)
335000,0,Escape,(null)
335000,0,Neutral Vocal,(null)
335000,0,Object Orientation,(null)
340000,0,Neutral Expression,(null)
340000,0,Neutral Vocal,(null)
340000,0,Object Orientation,(null)
345000,0,Mild Fussing,(null)
345000,0,Object Orientation,(null)
345000,0,Self Comforting,(null)
35000,0,Neutral Expression,(null)
35000,0,Neutral Vocal,(null)
35000,0,Parent Orientation,(null)
350000,0,Mild Fussing,(null)
350000,0,Object Orientation,(null)
350000,0,Self Comforting,(null)
355000,0,Coo,(null)
355000,0,Object Orientation,(null)
355000,0,Self Comforting,(null)
360000,0,Coo,(null)
360000,0,Half Smile,(null)
360000,0,Parent Orientation,(null)
