Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: Screaming, Crying, Neutral Vocal, Mild Fussing, Coo, Quiet Chuckle, Delight, Large Grimace, Frown, Small Frown, Neutral Expression, Half Smile, Smile, Wide Smile, Self Comforting, Object Orientation, Parent Orientation, Escape, Start, Stop, Begin Still Face, Begin Reconciliation
Time,Duration,TrackName,comment

0,0,Parent Orientation,(null)
0,0,Self Comforting,(null)
0,0,Smile,(null)
0,0,Stop,(null)
10000,0,Coo,(null)
10000,0,Parent Orientation,(null)
10000,0,Self Comforting,(null)
100000,0,Coo,(null)
100000,0,Neutral Expression,(null)
100000,0,Parent Orientation,(null)
105000,0,Neutral Expression,(null)
105000,0,Neutral Vocal,(null)
105000,0,Parent Orientation,(null)
110000,0,Neutral Vocal,(null)
110000,0,Parent Orientation,(null)
110000,0,Small Frown,(null)
115000,0,Coo,(null)
115000,0,Parent Orientation,(null)
115000,0,Self Comforting,(null)
120000,0,Neutral Expression,(null)
120000,0,Object Orientation,(null)
120000,0,Quiet Chuckle,(null)
125000,0,Neutral Expression,(null)
125000,0,Neutral Vocal,(null)
125000,0,Object Orientation,(null)
130000,0,Neutral Vocal,(null)
130000,0,Object Orientation,(null)
130000,0,Self Comforting,(null)
135000,0,Neutral Vocal,(null)
135000,0,Object Orientation,(null)
135000,0,Self Comforting,(null)
139153,0,Begin Still Face,(null)
140000,0,Neutral Vocal,(null)
140000,0,Parent Orientation,(null)
140000,0,Self Comforting,(null)
145000,0,Coo,(null)
145000,0,Parent Orientation,(null)
145000,0,Self Comforting,(null)
15000,0,Coo,(null)
15000,0,Parent Orientation,(null)
15000,0,Self Comforting,(null)
150000,0,Neutral Vocal,(null)
155000,0,Mild Fussing,(null)
160000,0,Neutral Vocal,(null)
160000,0,Parent Orientation,(null)
165000,0,Coo,(null)
165000,0,Parent Orientation,(null)
165000,0,Self Comforting,(null)
170000,0,Coo,(null)
170000,0,Parent Orientation,(null)
175000,0,Neutral Expression,(null)
175000,0,Neutral Vocal,(null)
175000,0,Parent Orientation,(null)
180000,0,Neutral Expression,(null)
180000,0,Neutral Vocal,(null)
180000,0,Parent Orientation,(null)
185000,0,Neutral Expression,(null)
185000,0,Neutral Vocal,(null)
185000,0,Parent Orientation,(null)
190000,0,Neutral Expression,(null)
190000,0,Neutral Vocal,(null)
190000,0,Parent Orientation,(null)
195000,0,Neutral Expression,(null)
195000,0,Neutral Vocal,(null)
195000,0,Parent Orientation,(null)
20000,0,Coo,(null)
20000,0,Parent Orientation,(null)
20000,0,Self Comforting,(null)
200000,0,Neutral Expression,(null)
200000,0,Neutral Vocal,(null)
200000,0,Parent Orientation,(null)
205000,0,Neutral Expression,(null)
205000,0,Neutral Vocal,(null)
205000,0,Parent Orientation,(null)
210000,0,Neutral Expression,(null)
210000,0,Neutral Vocal,(null)
210000,0,Parent Orientation,(null)
215000,0,Neutral Expression,(null)
215000,0,Neutral Vocal,(null)
215000,0,Parent Orientation,(null)
220000,0,Neutral Expression,(null)
220000,0,Neutral Vocal,(null)
220000,0,Parent Orientation,(null)
225000,0,Neutral Expression,(null)
225000,0,Neutral Vocal,(null)
225000,0,Parent Orientation,(null)
230000,0,Neutral Expression,(null)
230000,0,Neutral Vocal,(null)
230000,0,Parent Orientation,(null)
235000,0,Neutral Vocal,(null)
235000,0,Parent Orientation,(null)
235000,0,Small Frown,(null)
240000,0,Neutral Vocal,(null)
240000,0,Parent Orientation,(null)
240000,0,Small Frown,(null)
245000,0,Neutral Expression,(null)
245000,0,Neutral Vocal,(null)
245000,0,Parent Orientation,(null)
248940,0,Begin Reconciliation,(null)
25000,0,Coo,(null)
25000,0,Parent Orientation,(null)
25000,0,Self Comforting,(null)
250000,0,Neutral Vocal,(null)
250000,0,Parent Orientation,(null)
250000,0,Small Frown,(null)
255000,0,Neutral Vocal,(null)
255000,0,Parent Orientation,(null)
255000,0,Small Frown,(null)
260000,0,Neutral Vocal,(null)
260000,0,Parent Orientation,(null)
260000,0,Smile,(null)
265000,0,Coo,(null)
265000,0,Parent Orientation,(null)
265000,0,Smile,(null)
270000,0,Neutral Vocal,(null)
270000,0,Parent Orientation,(null)
270000,0,Self Comforting,(null)
275000,0,Coo,(null)
275000,0,Parent Orientation,(null)
275000,0,Self Comforting,(null)
280000,0,Neutral Expression,(null)
280000,0,Neutral Vocal,(null)
280000,0,Object Orientation,(null)
285000,0,Neutral Vocal,(null)
285000,0,Object Orientation,(null)
285000,0,Self Comforting,(null)
290000,0,Coo,(null)
290000,0,Parent Orientation,(null)
290000,0,Self Comforting,(null)
295000,0,Coo,(null)
295000,0,Parent Orientation,(null)
295000,0,Self Comforting,(null)
30000,0,Coo,(null)
30000,0,Parent Orientation,(null)
30000,0,Self Comforting,(null)
30000,0,Smile,(null)
300000,0,Coo,(null)
300000,0,Parent Orientation,(null)
300000,0,Smile,(null)
305000,0,Coo,(null)
305000,0,Neutral Expression,(null)
305000,0,Parent Orientation,(null)
310000,0,Coo,(null)
310000,0,Parent Orientation,(null)
310000,0,Smile,(null)
315000,0,Coo,(null)
315000,0,Parent Orientation,(null)
315000,0,Smile,(null)
320000,0,Coo,(null)
320000,0,Neutral Expression,(null)
320000,0,Parent Orientation,(null)
325000,0,Neutral Expression,(null)
325000,0,Neutral Vocal,(null)
325000,0,Parent Orientation,(null)
330000,0,Coo,(null)
330000,0,Half Smile,(null)
330000,0,Parent Orientation,(null)
335000,0,Coo,(null)
335000,0,Parent Orientation,(null)
340000,0,Coo,(null)
340000,0,Object Orientation,(null)
340000,0,Self Comforting,(null)
340000,0,Wide Smile,(null)
345000,0,Neutral Vocal,(null)
345000,0,Parent Orientation,(null)
345000,0,Self Comforting,(null)
35000,0,Neutral Vocal,(null)
35000,0,Parent Orientation,(null)
35000,0,Self Comforting,(null)
350000,0,Coo,(null)
350000,0,Parent Orientation,(null)
350000,0,Self Comforting,(null)
355000,0,Coo,(null)
355000,0,Neutral Expression,(null)
355000,0,Parent Orientation,(null)
355000,0,Self Comforting,(null)
360000,0,Coo,(null)
360000,0,Parent Orientation,(null)
360000,0,Self Comforting,(null)
360000,0,Wide Smile,(null)
365000,0,Half Smile,(null)
365000,0,Object Orientation,(null)
365000,0,Quiet Chuckle,(null)
365000,0,Stop,(null)
40000,0,Coo,(null)
40000,0,Parent Orientation,(null)
40000,0,Self Comforting,(null)
45000,0,Coo,(null)
45000,0,Parent Orientation,(null)
45000,0,Self Comforting,(null)
5000,0,Coo,(null)
5000,0,Parent Orientation,(null)
5000,0,Self Comforting,(null)
50000,0,Coo,(null)
50000,0,Parent Orientation,(null)
50000,0,Self Comforting,(null)
55000,0,Coo,(null)
55000,0,Parent Orientation,(null)
55000,0,Self Comforting,(null)
60000,0,Coo,(null)
60000,0,Parent Orientation,(null)
60000,0,Self Comforting,(null)
65000,0,Coo,(null)
65000,0,Parent Orientation,(null)
65000,0,Self Comforting,(null)
70000,0,Half Smile,(null)
70000,0,Neutral Vocal,(null)
70000,0,Parent Orientation,(null)
70000,0,Self Comforting,(null)
75000,0,Coo,(null)
80000,0,Coo,(null)
80000,0,Parent Orientation,(null)
80000,0,Self Comforting,(null)
85000,0,Parent Orientation,(null)
85000,0,Quiet Chuckle,(null)
85000,0,Self Comforting,(null)
85000,0,Smile,(null)
90000,0,Neutral Expression,(null)
90000,0,Parent Orientation,(null)
90000,0,Quiet Chuckle,(null)
90000,0,Self Comforting,(null)
95000,0,Parent Orientation,(null)
95000,0,Quiet Chuckle,(null)
95000,0,Self Comforting,(null)
95000,0,Smile,(null)
