Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: Screaming, Crying, Neutral Vocal, Mild Fussing, Coo, Quiet Chuckle, Delight, Large Grimace, Frown, Small Frown, Neutral Expression, Half Smile, Smile, Wide Smile, Self Comforting, Object Orientation, Parent Orientation, Escape, Start, Stop, Begin Still Face, Begin Reconciliation
Time,Duration,TrackName,comment

0,0,Escape,(null)
0,0,Parent Orientation,(null)
0,0,Self Comforting,(null)
0,0,Smile,(null)
0,0,Stop,(null)
10000,0,Coo,(null)
10000,0,Parent Orientation,(null)
10000,0,Self Comforting,(null)
10000,0,Wide Smile,(null)
100000,0,Coo,(null)
100000,0,Escape,(null)
100000,0,Parent Orientation,(null)
100000,0,Self Comforting,(null)
100000,0,Smile,(null)
105000,0,Neutral Vocal,(null)
105000,0,Parent Orientation,(null)
105000,0,Wide Smile,(null)
110000,0,Coo,(null)
110000,0,Object Orientation,(null)
110000,0,Smile,(null)
115000,0,Coo,(null)
115000,0,Parent Orientation,(null)
115000,0,Smile,(null)
120000,0,Neutral Vocal,(null)
120000,0,Parent Orientation,(null)
120000,0,Smile,(null)
125000,0,Neutral Vocal,(null)
125000,0,Parent Orientation,(null)
125000,0,Smile,(null)
126033,0,Begin Still Face,(null)
130000,0,Coo,(null)
130000,0,Half Smile,(null)
130000,0,Parent Orientation,(null)
135000,0,Coo,(null)
135000,0,Escape,(null)
135000,0,Neutral Expression,(null)
135000,0,Object Orientation,(null)
140000,0,Escape,(null)
140000,0,Neutral Expression,(null)
140000,0,Neutral Vocal,(null)
140000,0,Object Orientation,(null)
145000,0,Escape,(null)
145000,0,Neutral Expression,(null)
145000,0,Neutral Vocal,(null)
145000,0,Object Orientation,(null)
15000,0,Escape,(null)
15000,0,Quiet Chuckle,(null)
15000,0,Self Comforting,(null)
15000,0,Wide Smile,(null)
150000,0,Escape,(null)
150000,0,Neutral Expression,(null)
150000,0,Neutral Vocal,(null)
150000,0,Object Orientation,(null)
155000,0,Escape,(null)
155000,0,Neutral Expression,(null)
155000,0,Neutral Vocal,(null)
155000,0,Object Orientation,(null)
160000,0,Coo,(null)
160000,0,Escape,(null)
160000,0,Neutral Expression,(null)
160000,0,Object Orientation,(null)
165000,0,Coo,(null)
165000,0,Escape,(null)
165000,0,Half Smile,(null)
165000,0,Object Orientation,(null)
170000,0,Escape,(null)
170000,0,Neutral Expression,(null)
170000,0,Neutral Vocal,(null)
170000,0,Object Orientation,(null)
175000,0,Coo,(null)
175000,0,Escape,(null)
175000,0,Half Smile,(null)
180000,0,Coo,(null)
180000,0,Escape,(null)
180000,0,Object Orientation,(null)
180000,0,Small Frown,(null)
185000,0,Escape,(null)
185000,0,Neutral Expression,(null)
185000,0,Neutral Vocal,(null)
185000,0,Object Orientation,(null)
190000,0,Escape,(null)
190000,0,Neutral Expression,(null)
190000,0,Neutral Vocal,(null)
190000,0,Object Orientation,(null)
195000,0,Coo,(null)
195000,0,Escape,(null)
195000,0,Neutral Expression,(null)
195000,0,Object Orientation,(null)
20000,0,Escape,(null)
20000,0,Parent Orientation,(null)
20000,0,Quiet Chuckle,(null)
20000,0,Self Comforting,(null)
20000,0,Smile,(null)
200000,0,Escape,(null)
200000,0,Neutral Vocal,(null)
200000,0,Object Orientation,(null)
200000,0,Small Frown,(null)
205000,0,Neutral Expression,(null)
205000,0,Neutral Vocal,(null)
205000,0,Object Orientation,(null)
210000,0,Escape,(null)
210000,0,Neutral Expression,(null)
210000,0,Neutral Vocal,(null)
210000,0,Object Orientation,(null)
210000,0,Self Comforting,(null)
215000,0,Escape,(null)
215000,0,Neutral Expression,(null)
215000,0,Neutral Vocal,(null)
215000,0,Object Orientation,(null)
220000,0,Escape,(null)
220000,0,Neutral Expression,(null)
220000,0,Neutral Vocal,(null)
225000,0,Escape,(null)
225000,0,Neutral Expression,(null)
225000,0,Neutral Vocal,(null)
225000,0,Object Orientation,(null)
225000,0,Self Comforting,(null)
230000,0,Escape,(null)
230000,0,Neutral Expression,(null)
230000,0,Neutral Vocal,(null)
230000,0,Object Orientation,(null)
235000,0,Escape,(null)
235000,0,Neutral Expression,(null)
235000,0,Neutral Vocal,(null)
235000,0,Object Orientation,(null)
235000,0,Self Comforting,(null)
240000,0,Escape,(null)
240000,0,Neutral Expression,(null)
240000,0,Neutral Vocal,(null)
240000,0,Object Orientation,(null)
244003,0,Begin Reconciliation,(null)
245000,0,Escape,(null)
245000,0,Neutral Vocal,(null)
245000,0,Object Orientation,(null)
245000,0,Smile,(null)
25000,0,Escape,(null)
25000,0,Quiet Chuckle,(null)
25000,0,Smile,(null)
250000,0,Half Smile,(null)
250000,0,Neutral Vocal,(null)
250000,0,Object Orientation,(null)
255000,0,Escape,(null)
255000,0,Neutral Expression,(null)
255000,0,Neutral Vocal,(null)
255000,0,Parent Orientation,(null)
260000,0,Half Smile,(null)
260000,0,Neutral Vocal,(null)
260000,0,Object Orientation,(null)
260000,0,Self Comforting,(null)
265000,0,Neutral Vocal,(null)
265000,0,Object Orientation,(null)
265000,0,Wide Smile,(null)
270000,0,Coo,(null)
270000,0,Object Orientation,(null)
270000,0,Wide Smile,(null)
275000,0,Object Orientation,(null)
275000,0,Quiet Chuckle,(null)
275000,0,Smile,(null)
280000,0,Neutral Vocal,(null)
280000,0,Object Orientation,(null)
280000,0,Wide Smile,(null)
285000,0,Object Orientation,(null)
285000,0,Quiet Chuckle,(null)
285000,0,Smile,(null)
290000,0,Coo,(null)
290000,0,Parent Orientation,(null)
290000,0,Wide Smile,(null)
295000,0,Half Smile,(null)
